title,rating,price,link
A Light in the Attic,Three,£51.77,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,One,£53.74,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Soumission,One,£50.10,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Sharp Objects,Four,£47.82,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Sapiens: A Brief History of Humankind,Five,£54.23,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Requiem Red,One,£22.65,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
The Black Maria,One,£52.15,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Shakespeare's Sonnets,Four,£20.66,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Set Me Free,Five,£17.46,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Rip it Up and Start Again,Five,£35.02,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Olio,One,£23.88,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
Libertarianism for Beginners,Two,£51.33,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
It's Only the Himalayas,Two,£45.17,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html
In Her Wake,One,£12.84,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,Two,£37.32,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Three,£30.52,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Chase Me (Paris Nights #2),Five,£25.27,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Black Dust,Five,£34.53,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Birdsong: A Story in Pictures,Three,£54.64,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Three,£22.50,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Aladdin and His Wonderful Lamp,Three,£53.13,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,Five,£40.30,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Wall and Piece,Four,£44.18,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Five,£17.66,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Three,£31.05,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
The Elephant Tree,Five,£23.82,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
The Bear and the Piano,One,£36.89,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Sophie's World,Five,£15.94,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Penny Maybe,Three,£33.29,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Maude (1883-1993):She Grew Up with the country,Two,£18.02,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
"In a Dark, Dark Wood",One,£19.63,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Behind Closed Doors,Four,£52.22,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
You can't bury them all: Poems,Two,£33.63,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
Slow States of Collapse: Poems,Three,£57.31,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Reasons to Stay Alive,Two,£26.41,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Private Paris (Private #10),Five,£47.61,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Five,£23.11,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Without Borders (Wanderlove #1),Two,£45.07,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
When We Collided,One,£31.77,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
"We Love You, Charlie Freeman",Five,£50.27,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Untitled Collection: Sabbath Poems 2014,Four,£14.27,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",Four,£44.18,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Unicorn Tracks,Three,£18.78,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",One,£25.52,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),One,£16.28,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Three,£31.12,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
This One Summer,Four,£19.49,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
Thirst,Five,£17.27,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
The Torch Is Passed: A Harding Family Story,One,£19.09,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
The Secret of Dreadwillow Carse,One,£56.13,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",One,£56.41,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
The Past Never Ends,Four,£56.50,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
The Natural History of Us (The Fine Art of Pretending #2),Three,£45.22,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
The Nameless City (The Nameless City #1),Four,£38.16,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Murder That Never Was (Forensic Instincts #5),Three,£54.11,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,£42.96,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,£23.89,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,£16.77,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,£20.59,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,£37.13,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Electric Pencil: Drawings from Inside State Hospital No. 3,One,£56.06,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Death of Humanity: and the Case for Life,Four,£58.11,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,£49.05,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Art Forger,Three,£40.76,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,£19.73,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,£32.24,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,£41.83,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
Soul Reader,Two,£39.58,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
Security,Two,£39.25,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,£25.02,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,£51.04,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
Reskilling America: Learning to Labor in the Twenty-First Century,Two,£19.83,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,£50.40,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Five,£13.61,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Princess Between Worlds (Wide-Awake Princess #5),Five,£13.34,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Pop Gun War, Volume 1: Gift",One,£18.97,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Two,£36.28,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Patience,Three,£10.16,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Four,£15.44,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
orange: The Complete Collection 1 (orange: The Complete Collection #1),One,£48.41,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Online Marketing for Busy Authors: A Step-By-Step Guide,One,£46.35,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
On a Midnight Clear,Three,£14.07,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Obsidian (Lux #1),Two,£14.86,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
My Paris Kitchen: Recipes and Stories,Two,£33.37,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Masks and Shadows,Two,£56.40,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Four,£14.02,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Two,£46.91,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Three,£45.61,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Two,£19.92,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes",One,£40.11,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Two,£53.90,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Join,Five,£35.67,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
In the Country We Love: My Family Divided,Four,£22.00,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,Five,£57.36,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Two,£29.17,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
I am a Hero Omnibus Volume 1,Three,£54.63,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
How to Be Miserable: 40 Strategies You Already Use,One,£46.03,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Her Backup Boyfriend (The Sorensen Family #1),One,£33.97,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)",Two,£22.11,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,£29.69,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
First and First (Five Boroughs #3),Four,£15.97,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Fifty Shades Darker (Fifty Shades #2),One,£21.96,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,Two,£54.35,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",Two,£37.97,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Danganronpa Volume 1,Four,£51.99,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Crown of Midnight (Throne of Glass #2),Three,£43.29,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"Codename Baboushka, Volume 1: The Conclave of Death",Four,£36.72,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Camp Midnight,Four,£17.08,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,Five,£29.14,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Burning,Three,£28.81,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Bossypants,Two,£49.46,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Two,£37.92,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",Two,£28.09,https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
Algorithms to Live By: The Computer Science of Human Decisions,One,£30.81,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A World of Flavor: Your Gluten Free Passport,One,£42.95,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",Five,£56.76,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A Murder in Time,One,£16.64,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A Flight of Arrows (The Pathfinders #2),Five,£55.53,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A Fierce and Subtle Poison,Four,£28.13,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
A Court of Thorns and Roses (A Court of Thorns and Roses #1),One,£52.37,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
(Un)Qualified: How God Uses Broken People to Do Big Things,Five,£54.00,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
You Are What You Love: The Spiritual Power of Habit,Four,£21.87,https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
